Id,Input,Prompt,"Rating:
-1: Errors in the generation or in the input
0: Prompt doesn't describe the current step
1: Prompt describes the current step, but some context is missing in the input/output
2: Prompt is a poor description of the current step, and is in accordance with the context
3: Prompt is a good description of the current step, and is in accordance with the context
4: Prompt is a very good description of the current step, and is in accordance with the context","Note (optional)
A: copy problem
B: step has too many actions
C: good prompt DESPITE step with too many actions
D: prompt has hallucinations"
12,"Step 1: Step 4: What is on the plate?

A) chicken
B) steak
C) pork
D) beef

Answer: C) pork
Step 2: Meanwhile, make the chimichurri. In a food processor, add Fresh Parsley (1 cup), Garlic (2 clove), Dried Oregano (2 teaspoon) Red Wine Vinegar (2 tablespoon), Crushed Red Pepper Flakes (1/4 teaspoon), Salt (1/4 teaspoon), and Ground Black Pepper (0 to taste), and blend. Add in Extra-Virgin Olive Oil (1/2 cup).
","A woman is pouring olive oil into a food processor that has parsley, garlic, oregano, red wine vinegar, crushed red pepper flakes, salt, and ground black pepper in it",1,C
9,"Step 1: a person is rubbing chicken wings with chili oil and chili powder
Step 2: Place meat on the grill for indirect smoking at 250 degrees F (120 degrees C).
",the person is grilling chicken on a grill with a thermometer in the middle of the chicken,2,
174,"Step 1: Pre-heat oven to 180°C/ 350°F. Melt butter in a small pot and allow to cool.
",a small pot of butter is melting on a stove top,3,
63,"Step 1: A small bowl with a wooden spoon in it sits on a wooden table next to a bowl of salad and a bottle of olive oil
Step 2: Pour the dressing onto the salad and gently mix. Top with Feta Cheese and
",a bowl of salad with feta cheese and olive oil on top,-1,
155,"Step 1: the ingredients for a smoothie are being put into a blender
Step 2: Secure lid and blend until smooth.
",the blender is being used to make a smoothie,3,
133,"Step 1: In the same pan, add the heavy cream and stir with the chicken bits at the bottom of the pan. Add the ground black pepper and reduce it for 5 minutes. Add cream cheese and stir. Season with salt and parmesan cheese and add the cut chicken and drained pasta
Step 2: Toss everything together and serve!
",the dish is being served on a plate with a fork and knife next to it,1,
192,"Step 1: Finely chop chives. Peel and shred potatoes.
Step 2: Transfer shredded potatoes to bowl with cold water, stirring until water turns cloudy. Drain and rinse potatoes well under cold water. Transfer potatoes to kitchen towel and twist over sink to wring out as much liquid as possible. Transfer potatoes back to bowl and toss to loosen, then transfer back onto towel and ring out liquid again.
",A woman is using a kitchen towel to wring out the liquid from shredded potatoes in a bowl,4,
112,"Step 1: a person is pouring hoisin sauce into a bowl of vegetable broth and soy sauce
Step 2: Bring a large pot of water to boil and cook noodles approx. 2 min. shy of the time stated on the package. Drain and toss lightly with toasted sesame oil.
",a person is cooking noodles in a large pot of water,4,
143,"Step 1: Into a wok or a pan over high heat, add some Beef Strips. Add in the Vegetable Oil and cook over high heat for 3-4 minutes.
",a wok with beef and vegetables in it,2,
125,"Step 1: Prepare all the  ingredients. Chop the Onion and Green Cabbage.
",the woman is chopping onions and green cabbage on a wooden cutting board,4,
42,"Step 1: A person is adding ingredients to a bowl, including orange peel, garlic, and spices
Step 2: Meanwhile, dice peaches and add to a bowl. Peel and finely dice onion. Finely chop the cilantro. De-seed the green chili pepper and chop finely. Zest lime, then halve and juice. Add grapeseed oil, season with salt and pepper, and stir to combine. Set aside until serving.
",A person is chopping onions and cilantro on a cutting board,1,B
170,"Step 1: person stirring a bowl of oat flour and butterscotch chips
Step 2: Using an ice cream scoop, scoop dough to serve. Garnish with Sprinkles or candies of your choice.
",a person is using an ice cream scoop to scoop dough to serve garnished with sprinkles or candies of your choice,2,A
160,"Step 1: a pan of pasta and vegetables is being stirred with a wooden spoon
Step 2: Sprinkle with Colby & Monterey Jack Cheese and Vegetarian Parmesan Cheese. Allow cheese to melt then serve.
",a bowl of pasta with cheese on top,3,
137,"Step 1: Preheat steamer while you make your custard.
",the woman is preheating a steamer while she makes her custard,2,A
88,"Step 1: the salmon has been seasoned with salt and pepper
Step 2: Place salmon, bell peppers and cherry tomatoes in a glass bakeware (baking dish).
","a baking dish with salmon, bell peppers, and cherry tomatoes in it",2,
171,"Step 1: A person is adding artichokes, garlic, tomatoes, red pepper flakes, wine, olives, rosemary, and oregano to a pan
Step 2: Transfer chicken to a plate, then return pan to stove and simmer sauce over medium-high heat until thickened slightly, approx. 3 min. Stir in butter. Return chicken to pan and season to taste with more lemon juice, salt, and pepper, if desired. Garnish with oregano.
",A person is stirring a pan with a wooden spoon and adding butter to the pan,1,B
126,"Step 1: Answer |  | A person is adding cooked eggs and onion-mushroom mixture to a bowl, seasoning it with salt and stirring it to combine
Step 2: Add sandwich bread to a small bowl and let it soak in the milk. Add ground beef, ground pork, remaining egg, and soaked bread to a large bowl. Season with salt and pepper and mix with your hands to combine.
","A person is adding sandwich bread to a small bowl and letting it soak in the milk. They then add ground beef, ground pork, remaining egg, and soaked bread to a large bowl. They season the mixture with salt and pepper and mix it with their hands to combine it all",2,B
173,"Step 1: Wash and quarter tomatoes. Finely chop parsley. Halve avocado, scoop out the avocado flesh, and slice. Add eggs to a small bowl. Season with salt and pepper, then gently beat.
Step 2: Melt butter in a nonstick pan set over medium heat. Add eggs and parsley and gently shake the pan to distribute the egg over the pan. Cook for approx. 3 min. over medium-low heat. Occasionally separate the edges of the omelette from the pan using a silicone spatula.
",A person is cooking an omelette in a nonstick pan set over medium heat,4,B
80,"Step 1: A person is cutting up chicken on a wooden cutting board with a knife
Step 2: Preheat oven to 200°C/390°F. Thread chicken, zucchini, and red onion onto wooden skewers. In a large frying pan, heat up olive oil over medium heat and sauté skewers for approx. 2 – 3 min. per side. Then, place on a parchment paper-lined baking sheet and place in preheated oven at 200°C/390°F and bake for approx. 10 – 12 min.
",A person is cooking chicken on a stove top with an olive oil pan. They are using a wooden spoon to stir the chicken in the pan.,2,B
197,"Step 1: A blurry image of a plate with a fork, knife, and spoon on it with the words no photo underneath it
Step 2: Drain potatoes, slice into rounds and put into mixing bowl. Pour over the Vegetable Stock. Allow to cool for 10 minutes.
",a person is slicing potatoes into rounds and putting them into a mixing bowl,3,
8,"Step 1: In a medium bowl or on a clean surface, combine All-Purpose Flour into a pile and make a well in the middle, then pour in the Greek Yogurt and Baking Powder.
",a bowl of flour and baking powder sits on a table next to a bowl of yogurt,2,
47,"Step 1: A woman is frying chickpeas in a large skillet over medium-high heat
Step 2: Combine paprika powder, cayenne, coriander, and salt in a mixing bowl. Add fried chickpeas and toss to combine. Season with salt and pepper. Set aside.
","a woman is adding paprika powder, cayenne, coriander, and salt to a bowl of fried chickpeas",2,
190,"Step 1: the person is holding a piece of dough in their hand that has been folded over
Step 2: Pull the lower corners towards each other.
",the person is pulling the lower corners of the dough towards each other,4,
145,"Step 1: Preheat oven to 180°C/355°F. Add the flour, unsweetened cocoa powder, baking soda, baking powder, and salt to a bowl and stir to combine. In a second large bowl beat eggs and sugar until fluffy. Add chili-coconut mayonnaise and stir to combine at low speed. Add flour mixture and water alternating and carefully stir to combine until a smooth batter forms.
Step 2: Grease a baking pan and transfer the batter into it. Bake at 180°C/355°F for approx. 30 – 35 min. Remove the cake from the oven and let cool down.
",A person is baking a cake in an oven at 180°C/355°F,2,B
3,"Step 1: Preheat oven to 150°C/300°F. Coarsely chop onions. Finely mince garlic. Finely chop rosemary and thyme as well as the parsley.
",a person is chopping onions on a cutting board with a knife,4,
44,"Step 1: Add flour, fresh yeast, eggs, part of the water, part of the sugar, and salt to a bowl. Mix for approx. 5 min., using a hand mixer with dough hooks. Add the butter little by little while continuing to mix. Keep mixing for approx. 5 – 8 min., or until the dough becomes a shiny ball, adding extra flour, if needed.
Step 2: Dust the dough ball with flour and cover the bowl with a kitchen towel. Leave in a warm place to rise for approx. 2 – 4 hrs., the longer the better as it will develop flavour and the fluffiest texture.
",A woman is dusting a dough ball with flour and covering the bowl with a kitchen towel,3,
111,"Step 1: Remove stems from kale. Roughly chop or tear leaves with your hands. Transfer to a large mixing bowl along with some of the lemon juice and olive oil. Mix to coat and massage oil into kale to soften. Set aside.
",A woman is chopping kale with a knife on a wooden cutting board,3,
14,"Step 1: Finely chop garlic and basil. Roughly cut lobster into bite-sized pieces.
",a person is chopping garlic and basil on a cutting board,2,
70,"Step 1: a salad bowl filled with watercress and avocado sits on a wooden cutting board
Step 2: Pour on the vinaigrette over the watercress and avocado and you’re done! You may save back a bit of the dressing so your guests can drizzle on a bit more if they so desire. Serve alone, or as a side salad like I did.
",A salad bowl filled with watercress and avocado sits on a wooden cutting board,1,A
51,"Step 1: In a small saucepan, combine Frozen Spinach and Artichoke Hearts Packed in Water over medium heat, frying for 1 minute.
",a small saucepan with spinach and artichoke hearts in it,3,
49,"Step 1: Into a blender, add White Onion and Green Bell Pepper. Pulse to finely chop.
Step 2: Into a pressure cooker on high, add Olive Oil and chopped veggies. Cook for 10-15 minutes.
",a pressure cooker with chopped vegetables in it,2,
85,"Step 1: Slice the beef into thin strips. Add half of the soy sauce and juice from half a lime to a bowl. Add beef, tossing to coat, and set aside to marinate.
Step 2: In a liquid measuring cup whisk together the beef stock, cane sugar, remaining soy sauce, cornstarch, and remaining lime juice. Set aside. Peel the garlic cloves and ginger and finely chop. Thinly slice the green onions and chili. Transfer to a bowl and set aside. Cut or pull apart the broccoli into small florets.
","A person is chopping up garlic, ginger, green onions, and broccoli on a cutting board",2,B
164,"Step 1: In a pan over medium to high heat add Ground Beef. Break the beef down to small clumps and brown for 3-4 minutes.
",a pan with ground beef in it on the stove,4,
153,"Step 1: Image of a table with three bowls on it and a spoon in one of the bowls
Step 2: Dust with Unsweetened Cocoa Powder and refrigerate overnight or for a couple of hours. Serve it up for breakfast or as a healthy snack or dessert!
",a bowl of chocolate mousse with a spoon in it,1,
156,"Step 1: Oatmeal is being cooked in a pot on the stove and a spoon is stirring it
Step 2: Pour in the Almond Milk and stir.
",the person is pouring almond milk into a bowl of oatmeal,3,
10,"Step 1: how to render bacon in a frying pan and set aside? how to render bacon in a frying pan and set aside? how to render bacon in a frying pan and set aside? how to render bacon in a frying pan and set aside? how to render bacon in a frying pan and set aside? how
Step 2: In a saucepan, melt butter, add flour, and stir until flour and butter are fully combined to form a roux. Add milk, stirring occasionally, until fully combined. Season generously with nutmeg, salt, and pepper.
","In a saucepan, melt butter, add flour, and stir until flour and butter are fully combined to form a roux. Add milk, stirring occasionally, until fully combined. Season generously with nutmeg, salt, and pepper.",-1,A
116,"Step 1: A woman is filling a piping bag with macaron mixture and then piping it onto a baking sheet lined with a macaron baking mat
Step 2: Cut butter into pieces. Finely chop chocolate and transfer to a large bowl. Then, heat up Baileys in a small saucepan over medium heat for approx. 1 – 2 min. Add instant espresso and mix until dissolved. Pour warm Baileys into bowl to melt chocolate.  Once chocolate is melted, add butter, piece by piece, to bowl and stir thoroughly until well combined. Fill cream into piping bag.
",A woman is adding butter to a bowl of chocolate and then adding Baileys to the mixture,3,B
37,"Step 1: A person is adding blackberries to a liquid measuring cup and puréeing them until smooth. They then pass the mixture through a fine sieve set over a saucepan before adding sugar and heating the mixture over medium heat. Meanwhile, another person is beating egg whites and some salt in a bowl of a stand mixer until stiff peaks
Step 2: Cut cooled sponge cake into 3 equal strips. Spread each strip with some of the blackberry buttercream. Carefully roll up the first strip, then position the seam of the first roll at the beginning of the next one and keep rolling up. Repeat with the third stripe, then add the cake to a platter. Spread remaining buttercream over the entire cake. Before slicing, let cake rest in the fridge for at least 1 hr. Garnish with fresh blackberries and
",A person is rolling up a sponge cake with blackberry buttercream in a plastic bag,3,B
121,"Step 1: A person is cooking shallots and ginger in a frying pan on top of a stove
Step 2: Add cardamom pod, fennel seeds, cinnamon stick an star anise to a frying pan and fry until fragrant. Add to the pot. Season the broth with fish sauce, salt, and sugar. Let simmer for approx. 30 min.
","A person is adding cardamom pod, fennel seeds, cinnamon stick, and star anise to a frying pan and then adding it to a pot",2,
64,"Step 1: A woman is cooking spinach and mushrooms in a frying pan with a wooden spoon
Step 2: Spread a layer of tomato sauce on bottom of casserole dish. Add a layer of noodles, then a layer of béchamel sauce, and a layer of vegetables. Top with another layer of noodles and tomato sauce, and repeat pattern until casserole dish is filled. Finish with a layer of béchamel sauce and remaining mushrooms and spinach. Garnish with thyme leaves. Bake for about 30 – 40 minutes at 200°C/400°F, or until sides start to bubble and top turns golden brown. Let cool slightly before slicing and serving.
",A woman is cooking a casserole dish in an oven at 200°C/400°F,2,B
195,"Step 1: the noodles are being boiled in a pot on the stove
Step 2: Divide noodles among serving bowls. Spoon scallion oil over noodles and toss to combine. Reserve the rest of the oil in an airtight container in the fridge for up to 1 week and
",a person is pouring scallion oil over noodles in a bowl,3,
32,"Step 1: mix all ingredients very well and leave to cool in the fridge for 20 minutes
Step 2: In a pan oiled with Vegetable Oil, place 1 to 1 1/2 spoon full of the mix and pat gently to form the rice cake.
","In a pan oiled with Vegetable Oil, place 1 to 1 1/2 spoon full of the mix and pat gently to form the rice cake",0,A
5,"Step 1: the box of pineapple juice is sitting on a black counter top
Step 2: Blend untill smooth. If it is too liquidy, add the Ice.
",the blender is filled with pineapple juice and ice,4,
54,"Step 1: Slice the Avocado, shred the Green Cabbage. Slice the Lime into wedges.
",a person is slicing an avocado on a cutting board,3,
102,"Step 1: Add the Frozen Cranberries, Banana, Unsweetened Coconut Flakes, Orange, Vanilla Extract, and Maple Syrup to the jug and blend on Speed 5 for 50 seconds.
","a blender is filled with frozen cranberries, banana, unsweetened coconut flakes, orange, vanilla extract, and maple syrup",4,
20,"Step 1: To make the dashi, add Water to a saucepan, and soak Kombu for 30 minutes. Put saucepan on stove, and bring to a low simmer on medium heat. Once bubbles appear, remove kombu, and bring to a boil.
",A person is adding water to a saucepan and soaking kombu for 30 minutes in it,2,B
52,"Step 1: Pour Large Egg into the mixing bowl and put the larger piece of the egg shell to the side to use later on. Beat the eggs for 5 minutes. Fill Waterwith egg shells and add it into the egg.  Mix then add Salt. Add a portion of All-Purpose Flour and mix well. Using a large deep spoon, scoop up the mixture and pour it back in, to see if you are happy with the result. Now, get your saucepan and place it on the stove top at a medium heat.
","A person is pouring a mixture of eggs, flour, and salt into a saucepan on a stove top",2,B
178,"Step 1: Measure Sugar Syrup and Lime Juice, and then add the Pineapple Juice and Coconut Water. Stir until combined.
","a person is stirring a mixture of sugar syrup, lime juice, pineapple juice, and coconut water in a glass container",4,
15,"Step 1: In the clay mortar and pestle, mash the Thai Chili Pepper and Garlic.
Step 2: Shred the Fresh Papaya using a mandoline. Also shred Mango and Carrot.
","a woman is using a mandoline to shred fresh papaya, mango, and carrot",3,
21,"Step 1: the person is using a wooden spoon to fold in the blueberries into the batter
Step 2: Fill the muffin tins with the batter and bake in a preheated oven at 160°C/320°F for approx. 20 – 25 min. until golden. Cool in pan on a baking rack for approx. 10 – 15 min. Enjoy warm or leave to cool completely on a wire rack.
",A person is using a spoon to fill muffin tins with batter and then putting them in a preheated oven at 160°C/320°F to bake for 20-25 minutes until golden,3,
2,"Step 1: someone is adding chocolate chips to a pan on the stove
Step 2: Transfer the chocolate mixture to the pie crust. and put the whole thing in the fridge for about 2 hours.
",the person is putting chocolate mixture into a pie crust and then putting it in the fridge for about 2 hours,3,
108,"Step 1: Trim wooden ends of asparagus and cut into pieces at a light angle (approx. 1 cm pieces). Hull strawberries and quarter.
",a person is trimming the wooden ends of asparagus and cutting it into pieces at a light angle (approximately 1 cm pieces),4,
199,"Step 1: Answer 2 | In the meantime, toast cashews in a frying pan until fragrant. Remove from heat and set aside
Step 2: As soon as the porridge is done, remove from heat, add toasted cashews and honey, and stir to combine.
",a bowl of porridge with toasted cashews and honey in it,4,
96,"Step 1: a woman is whisking together egg, water, and Tabasco in one bowl while whisking together flour, baking powder, a pinch of salt, and the excess spice rub in another bowl
Step 2: Dip chicken pieces in the egg mixture until well coated on all sides. Lightly shake to remove excess liquid. Then dredge chicken in flour mixture until a thick and even crust is formed. Repeat these steps for a thicker crust if desired.
",A woman is dipping chicken pieces in an egg mixture and then dredging them in flour mixture,3,
55,"Step 1: In a large bowl place in Cheerios®, Unsalted Peanuts and Raisins. Combine the ingredients and set aside.
Step 2: In a saucepan over medium heat, add Honey, Brown Sugar and Creamy Peanut Butter. Keep stiring for 2-3 minutes but do not let it burn. Turn heat off.
","a saucepan with honey, brown sugar, and creamy peanut butter in it",4,
6,"Step 1: someone is spreading batter onto a baking sheet with a spatula
Step 2: Take cake out of the oven and turn onto a clean kitchen towel. Remove parchment paper and, if necessary, turn cake so that the smooth side faces downwards. Coat cake with chia-raspberry jam. Use kitchen towel to roll up the cake tightly.
",A person is rolling a cake in a towel to coat it with chia-raspberry jam,3,B
59,"Step 1: woman stirring ingredients in a bowl with a spoon
Step 2: Transfer breakfast bar mixture to a parchment-lined baking dish and smooth top with a spatula. Place in preheated oven and bake at 130°C/270°F for approx. 45 – 50 min. until golden. Remove from oven and let cool for approx. 10 min.
",A woman is transferring a mixture of ingredients to a parchment-lined baking dish and smoothing the top with a spatula,4,
151,"Step 1: Top 5 Most Popular Women's Magazines | In a large bowl, mix together Parmesan and breadcrumbs. Season with salt and pepper
Step 2: In a separate large bowl, beat together two eggs until foamy. Using tongs, dip chicken cutlets into the egg mixture and then the breadcrumb mixture. Place on a plate and set aside.
","In a separate large bowl, beat together two eggs until foamy. Using tongs, dip chicken cutlets into the egg mixture and then the breadcrumb mixture. Place on a plate and set aside",0,A
183,"Step 1: In the image, a person is cooking ground beef in a frying pan with onions and garlic. They also have a saucepan of boiling water with tomato paste in it.
Step 2: Remove the eggplants from the oven and use a fork to make room for the filling where you had sliced it before baking. Fill with the minced meat mixture.
",a person is using a fork to make room for the filling in an oven-baked eggplant,3,B
56,"Step 1: In the image, a person is holding a bowl of beef stock in one hand and a bowl of diced vegetables in the other
Step 2: Serve cabbage soup in bowls with a dollop of sour cream, a bay leaf, dill, parsley, and season with more pepper.
","a bowl of cabbage soup with a dollop of sour cream, a bay leaf, dill, parsley, and seasoned with more pepper",4,
